site,method,treatment,trap.num,rep.num,year,date.out,date.in,duration,time.rep,order,family,morph,count,comments,,10,4,
TT,pitfall,control,1,1,2023,5.7.2023,5.14.2023,7,0,araneae,silly_spider,3,7,,,,,
TT,pitfall,control,1,1,2023,5.7.2023,5.14.2023,7,0,coleoptera,beautiful_beetle,2,11,,,,,
TT,pitfall,control,1,1,2023,5.7.2023,5.14.2023,7,0,coleoptera,bashful_beetle,1,7,,,,,
TT,pitfall,control,2,1,2023,5.7.2023,5.14.2023,7,0,araneae,silly_spider,3,8,,,,,
TT,pitfall,control,2,1,2023,5.7.2023,5.14.2023,7,0,coleoptera,beautiful_beetle,2,13,,,,,
TT,pitfall,control,2,1,2023,5.7.2023,5.14.2023,7,0,coleoptera,bashful_beetle,1,10,,,,,
TT,pitfall,control,3,1,2023,5.7.2023,5.14.2023,7,0,araneae,silly_spider,3,11,,,,,
TT,pitfall,control,3,1,2023,5.7.2023,5.14.2023,7,0,coleoptera,beautiful_beetle,2,9,,,,,
TT,pitfall,control,3,1,2023,5.7.2023,5.14.2023,7,0,coleoptera,bashful_beetle,1,9,,,,,
TT,pitfall,control,4,1,2023,5.7.2023,5.14.2023,7,0,araneae,silly_spider,3,12,,,,,
TT,pitfall,control,4,1,2023,5.7.2023,5.14.2023,7,0,coleoptera,beautiful_beetle,2,12,,,,,
TT,pitfall,control,4,1,2023,5.7.2023,5.14.2023,7,0,coleoptera,bashful_beetle,1,12,,,,,
TT,pitfall,control,5,1,2023,5.7.2023,5.14.2023,7,0,araneae,silly_spider,3,12,,,,,
TT,pitfall,control,5,1,2023,5.7.2023,5.14.2023,7,0,coleoptera,beautiful_beetle,2,10,,,,,
TT,pitfall,control,5,1,2023,5.7.2023,5.14.2023,7,0,coleoptera,bashful_beetle,1,9,,,,,
TT,pitfall,control,1,2,2023,5.7.2023,5.14.2023,7,0,araneae,silly_spider,3,11,,,,,
TT,pitfall,control,1,2,2023,5.7.2023,5.14.2023,7,0,coleoptera,beautiful_beetle,2,8,,,,,
TT,pitfall,control,1,2,2023,5.7.2023,5.14.2023,7,0,coleoptera,bashful_beetle,1,10,,,,,
TT,pitfall,control,2,2,2023,5.7.2023,5.14.2023,7,0,araneae,silly_spider,3,9,,,,,
TT,pitfall,control,2,2,2023,5.7.2023,5.14.2023,7,0,coleoptera,beautiful_beetle,2,11,,,,,
TT,pitfall,control,2,2,2023,5.7.2023,5.14.2023,7,0,coleoptera,bashful_beetle,1,10,,,,,
TT,pitfall,control,3,2,2023,5.7.2023,5.14.2023,7,0,araneae,silly_spider,3,11,,,,,
TT,pitfall,control,3,2,2023,5.7.2023,5.14.2023,7,0,coleoptera,beautiful_beetle,2,10,,,,,
TT,pitfall,control,3,2,2023,5.7.2023,5.14.2023,7,0,coleoptera,bashful_beetle,1,9,,,,,
TT,pitfall,control,4,2,2023,5.7.2023,5.14.2023,7,0,araneae,silly_spider,3,12,,,,,
TT,pitfall,control,4,2,2023,5.7.2023,5.14.2023,7,0,coleoptera,beautiful_beetle,2,12,,,,,
TT,pitfall,control,4,2,2023,5.7.2023,5.14.2023,7,0,coleoptera,bashful_beetle,1,8,,,,,
TT,pitfall,control,5,2,2023,5.7.2023,5.14.2023,7,0,araneae,silly_spider,3,9,,,,,
